Date,Close,EMA_1,EMA_2,EMA_3,EMA_4,EMA_5,EMA_6,EMA_7,EMA_8,EMA_9,EMA_10,EMA_11,EMA_12,EMA_13,EMA_14,EMA_15,EMA_16,EMA_17,EMA_18,EMA_19,EMA_20,EMA_21,EMA_22,EMA_23,EMA_24,EMA_25,EMA_26,EMA_27,EMA_28,EMA_29,EMA_30
2022-06-21,20710.597656,20710.597656,20632.272333445922,20582.648204562916,20631.92828053914,20775.600758842298,20988.16950732919,21244.008469355686,21523.12859008787,21811.544536948048,22100.116098984352,22383.228030131322,22657.69510442798,22921.946561179167,23175.448676152282,23418.30792169295,23651.00412683089,23874.214624068532,24088.70095046246,24295.237979378475,24494.571481431085,24687.394480864572,24874.335833865396,25055.956576318848,25232.751048449936,25405.15080376644,25573.529991870408,25738.211368092543,25899.47239611009,26057.55111999504,26212.65162202566
2022-06-22,19987.029297,19987.029297,20202.11030914864,20284.83875078146,20373.968687123484,20512.743604894866,20702.129447235136,20929.763676266764,21181.7731916239,21446.641488958438,21715.91849862356,21983.861574609437,22246.823441746754,22502.672666296432,22750.326092265313,22989.39809360633,23219.94826449784,23442.305143283138,23656.946039571674,23864.41711114063,24065.281749580507,24260.0885550587,24449.35265674667,24633.545969708943,24813.093308333944,24988.372226322866,25159.715125583713,25327.41264872879,25491.717699619738,25652.849665128706,25810.9985687982
2022-06-23,21085.876953,21085.876953,20791.28807171621,20685.35785189073,20658.73199347409,20703.788054263245,20811.771591739383,20968.791995450072,21160.462916374145,21374.488581766753,21601.365490328364,21834.197471007865,22068.21628963187,22300.273278682656,22528.399540363273,22751.45795103054,22968.88105138045,23180.47978880723,23386.307188353603,23586.563095326568,23781.528911810936,23971.523863962455,24156.876508594785,24337.906884983197,24514.91599990723,24688.18028222111,24857.949335021956,25024.44581331959,25187.86661364596,25348.38481765346,25506.152012940252
2022-06-24,21231.65625,21231.65625,21084.86685723874,20958.507050945365,20887.901696084456,20879.744119508832,20931.738636956703,21034.508059087555,21176.28365717989,21345.922115413403,21534.14562845048,21733.773934173223,21939.51474507312,22147.613703156563,22355.500434981503,22561.482738401723,22764.501662982748,22963.94384005087,23159.501826421645,23351.072410793913,23538.68389640037,23722.44498996587,23902.509529586543,24079.05266540126,24252.255219914652,24422.293818204103,24589.335032427738,24753.532273082477,24915.02451960141,25073.93624647656,25230.37809275056
2022-06-25,21502.337891,21502.337891,21363.180879746247,21230.422470972684,21133.676174050674,21087.275376672555,21094.766995254788,21151.465517065666,21248.74015358436,21377.205270530725,21528.36240345948,21695.20126031102,21872.25676752341,22055.431444277056,22241.7454291173,22429.089632476505,22616.011807455365,22801.543179045217,22985.06351742989,23166.198958814522,23344.746181600334,23520.617071878063,23693.79895231815,23864.326434201153,24032.261833601482,24197.68182380379,24360.668577507164,24521.30410293373,24679.666821077175,24835.829689444792,24989.859370056976
2022-06-26,21027.294922,21027.294922,21139.256907915416,21128.858696486343,21091.123673230402,21067.281891781706,21075.489260039136,21120.42286829925,21199.53010212117,21307.22320082458,21437.2592250123,21583.883537259186,21742.262637442884,21908.554798237477,22079.818694834994,22253.865293666942,22429.103938578264,22604.40448381797,22778.982612647796,22952.30855513307,23124.036537828873,23293.95142188915,23461.92903663831,23627.907141517724,23791.864480673365,23953.80590828042,24113.75201043256,24271.732018581322,24427.779103899436,24581.92737161514,24734.210050827496
2022-06-27,20735.478516,20735.478516,20870.07131330514,20932.16860624317,20948.865610338242,20956.680766521138,20978.34333317081,21024.186780224438,21096.40752742758,21192.874263859667,21309.66273246461,21442.482700382654,21587.37277260552,21740.972472203553,21900.573337656995,22064.066946458574,22229.853888863174,22396.746042949304,22563.876918263817,22730.625551219764,22896.55482146422,23061.362975899225,23224.846382669763,23386.87142272458,23547.353603499498,23706.24226272039,23863.50952936348,24019.14248268266,24173.1376840443,24325.497447907466,24476.227371161207
2022-06-28,20280.634766,20280.634766,20477.113615101713,20606.401686121586,20681.573272602946,20731.33209968076,20778.998028264865,20838.29877666833,20915.12469155478,21010.426364287734,21122.566738561953,21248.841377985547,21386.33615620467,21532.352799888762,21684.581528102728,21841.137923901253,22000.53399205574,22161.622567732713,22323.535639078153,22485.62647269779,22647.419578086672,22808.56950227202,22968.82798122022,23128.01836799753,23286.016096499538,23442.7339937419,23598.111398743964,23752.106217205328,23904.689206937797,24055.839935780303,24205.54397727984
2022-06-29,20104.023438,20104.023438,20228.38683036724,20355.21256206079,20450.55333876177,20522.22921245384,20586.14814533205,20654.729942001246,20734.87996854261,20829.14577903019,20937.377047550686,21058.038387987956,21189.057276480875,21328.30574819037,21473.840449422365,21623.998613163596,21777.4151033433,21933.000442206856,22089.902775806768,22247.46616922801,22405.191374268892,22562.701678247293,22719.714542679332,22876.018790497736,23031.456683819575,23185.910104838676,23339.290068318485,23491.52887583352,23642.574326321395,23792.38550259495,23940.92974893921
2022-06-30,19784.726563,19784.726563,19932.61331878908,20069.969562530394,20184.22262845706,20276.39499596923,20357.170550380037,20437.229097250936,20523.734767310918,20620.261935824154,20727.804232177834,20845.81975048996,20973.006397483816,21107.79443602032,21248.62526456605,21394.089606893147,21542.98115742056,21694.303344517204,21847.252648142898,22001.19220860521,22155.62329700519,22310.158485952084,22464.49819662026,22618.411104872925,22771.71827415401,22924.280601620318,23075.98906792452,23226.757282059698,23376.515859885436,23525.208239955286,23672.787607910876
2022-07-01,19269.367188,19269.367188,19490.44923159636,19669.668375265195,19818.280452274237,19940.71905997949,20046.369589700025,20145.263619938203,20244.986416352935,20350.082986259324,20462.633860509137,20583.077656741636,20710.90805756323,20845.161972017417,20984.724187690575,21128.499304531502,21275.497161018142,21424.865993793068,21575.89628391733,21728.00970654469,21880.741762814218,22033.722913410984,22186.660717609804,22339.32411180018,22491.53018726169,22643.133415957218,22794.017076819,22944.086561055436,23093.264227341613,23241.485503158267,23388.69596791663
2022-07-02,19242.255859,19242.255859,19324.98698319879,19455.9621171326,19587.870614964544,19707.897992986327,19816.62280950002,19919.511679703653,20022.15740360784,20128.51756080746,20240.74695114384,20359.60735711803,20484.961565476577,20616.1753844435,20752.3950771985,20892.718873840065,21036.292301957183,21182.35375659384,21330.249923399715,21479.43432179022,21629.457391022388,21779.953181191802,21930.6255125133,22081.235090733495,22231.588241000758,22381.527450037433,22530.923653276852,22679.67008233719,22827.677443318054,22974.870193547715,23121.183702825234
2022-07-03,19297.076172,19297.076172,19306.37977573293,19376.5191445663,19471.552837778727,19570.957385990885,19668.180913071443,19763.90280277774,19861.028241028318,19962.22928304597,20069.17044584496,20182.518826265026,20302.20996648018,20427.732639808717,20558.352556505368,20693.26353611006,20831.67863960928,20972.878469416744,21116.231633778694,21261.1985068112,21407.32584635359,21554.23708944709,21701.621222033882,21849.2218475057,21996.827275480697,22144.261967111477,22291.379395404492,22438.05623159882,22584.187700468534,22729.683925444533,22874.467087933284
2022-07-04,20231.261719,20231.261719,19922.967737910974,19803.890431783148,19775.436390267234,19791.058830327256,19829.061143336745,19880.742531833304,19943.302347244247,20016.035770236776,20098.641586418602,20190.642641720857,20291.294851483228,20399.665365407473,20514.740444837986,20635.5133089713,20761.041354831716,20890.476608259327,21023.07690590725,21158.20482803008,21295.31973898658,21433.966601224627,21573.76387394398,21714.39183679689,21855.582030962243,21997.108101872134,22138.778086041195,22280.428052127478,22421.916943125874,22563.1224450149,22703.93770929243
2022-07-05,20190.115234,20190.115234,20101.066068636992,19997.002832891572,19941.30792776034,19924.077631551507,19932.21945495482,19958.08570737498,19998.14965541219,20050.851662989422,20115.273158706128,20190.554740434047,20275.72875648581,20369.729632349263,20471.45708339292,20579.83854959989,20693.873575910337,20812.65867778607,20935.396729917014,21061.395868627074,21190.0621670831,21320.889204204206,21453.446600905372,21587.368786563817,21722.344687205266,21858.108650497357,21994.432689593697,22131.1199936898,22267.999583875815,22404.921964280573,22541.755614112273
2022-07-06,20548.246094,20548.246094,20399.18608554566,20272.624463445783,20184.083194256204,20132.133785701004,20108.227066110583,20105.625804031235,20120.393308431703,20150.330549191538,20193.99551057774,20250.169966028374,20317.65450071876,20395.231984013655,20481.695618140533,20575.8894926499,20676.740930979708,20783.279501809837,20894.644031399435,21010.08089116437,21128.93682678947,21250.648921458367,21374.733513348383,21500.775228850165,21628.416799748848,21757.349992305255,21887.307756586757,22018.057572283386,22149.39589491886,22281.143572928533,22413.142096685675
